TourId iBest gBest time(ms)
2401 4641.9855821098 3767.8558174232 1358
2402 4654.3583295343 3767.8558174232 1348
2403 4620.3569683455 3767.8558174232 1361
2404 4778.6281982779 3767.8558174232 1361
2405 4673.4135713069 3767.8558174232 1366
2406 4564.3653999986 3767.8558174232 1364
2407 4482.9995408000 3767.8558174232 1353
2408 4592.0906322089 3767.8558174232 1357
2409 4689.5596962006 3767.8558174232 1362
2410 4609.5602522785 3767.8558174232 1362
2411 4719.3262309830 3767.8558174232 1358
2412 4562.9453617347 3767.8558174232 1351
2413 4587.4675818938 3767.8558174232 1350
2414 4632.9023123253 3767.8558174232 1348
2415 4537.8783168328 3767.8558174232 1353
2416 4598.0361963480 3767.8558174232 1371
2417 4748.7140343075 3767.8558174232 1376
2418 4554.8882113546 3767.8558174232 1358
2419 4694.6017239130 3767.8558174232 1362
2420 4521.9212813618 3767.8558174232 1369
2421 4451.5807492396 3767.8558174232 1362
2422 4630.8925307458 3767.8558174232 1377
2423 4559.8807084214 3767.8558174232 1420
2424 4601.9905447762 3767.8558174232 1410
2425 4471.3473312974 3767.8558174232 1353
2426 4672.4694619907 3767.8558174232 1355
2427 4396.7615901708 3767.8558174232 1399
2428 4618.8716048824 3767.8558174232 1349
2429 4615.7886921016 3767.8558174232 1354
2430 4548.8955600825 3767.8558174232 1390
2431 4602.1128468500 3767.8558174232 1385
2432 4697.4621233791 3767.8558174232 1405
2433 4704.1705375022 3767.8558174232 1394
